Cycle,SD,FP,FZ,FailedZoneValue,FailedZoneDiff
733,2.76284864576,-13.7682220667,11559,0.0513363,-2.27146980987
734,2.76286931167,-13.7682642373,11559,0.0513363,-2.27142764305
735,2.76288997791,-13.7683064079,11559,0.0513363,-2.27138547249
736,2.76291064331,-13.7683485797,11559,0.0513363,-2.27134330438
737,2.76293130084,-13.7683907539,11559,0.0513363,-2.27130113015
738,2.76295195866,-13.7684329287,11559,0.0513363,-2.27125895914
739,2.76297261029,-13.7684751049,11559,0.0513363,-2.27121678288
740,2.76299325715,-13.7685172832,11559,0.0513363,-2.27117460836
741,2.76301390168,-13.7685594627,11559,0.0513363,-2.27113242885
742,2.76303454358,-13.7686016437,11559,0.0513363,-2.27109025155
743,2.76305518071,-13.7686438264,11559,0.0513363,-2.27104806888
744,2.76307581306,-13.7686860107,11559,0.0513363,-2.2710058883
745,2.76309644537,-13.7687281958,11559,0.0513363,-2.27096370321
746,2.76311707598,-13.7687703828,11559,0.0513363,-2.27092151987
747,2.76313770001,-13.7688144784,11559,0.0513363,-2.27087933162
748,2.76315832317,-13.7688566684,11559,0.0513363,-2.27083714533
749,2.76317894017,-13.7688988608,11559,0.0513363,-2.270794953
750,2.76319955741,-13.7689410541,11559,0.0513363,-2.27075276335
751,2.76322017383,-13.7689832496,11559,0.0513363,-2.27071056787
752,2.76324078671,-13.7690254455,11559,0.0513363,-2.27066837575
753,2.76326139163,-13.7690676444,11559,0.0513363,-2.2706261768
754,2.76328198948,-13.7691098465,11559,0.0513363,-2.27058397846
755,2.76330259087,-13.769152049,11559,0.0513363,-2.27054177591
756,2.76332318357,-13.7691942545,11559,0.0513363,-2.27049957413
757,2.76334377422,-13.7692364614,11559,0.0513363,-2.27045736731
758,2.76336436056,-13.7692786708,11559,0.0513363,-2.27041516157
759,2.76338494512,-13.769320881,11559,0.0513363,-2.27037295144
760,2.76340552526,-13.7693630938,11559,0.0513363,-2.27033074231
761,2.76342610075,-13.7694053088,11559,0.0513363,-2.27028852728
762,2.76344667482,-13.769447526,11559,0.0513363,-2.27024631382
763,2.76346724512,-13.7694897455,11559,0.0513363,-2.27020409435
764,2.76348781554,-13.7695319669,11559,0.0513363,-2.27016187669
765,2.76350838129,-13.7695741902,11559,0.0513363,-2.27011965709
766,2.76352895338,-13.7696164144,11559,0.0513363,-2.2700774329
767,2.76354951679,-13.7696586409,11559,0.0513363,-2.27003521017
768,2.76357007164,-13.7697008709,11559,0.0513363,-2.26999298017
769,2.76359062157,-13.7697431031,11559,0.0513363,-2.26995075162
770,2.76361117587,-13.7697853357,11559,0.0513363,-2.26990851909
771,2.7636317194,-13.7698275719,11559,0.0513363,-2.26986628662
772,2.76365226151,-13.7698698106,11559,0.0513363,-2.26982404784
773,2.76367280109,-13.7699120519,11559,0.0513363,-2.26978181031
774,2.7636933428,-13.7699562004,11559,0.0513363,-2.26973957284
775,2.76371388049,-13.769998445,11559,0.0513363,-2.26969732828
776,2.76373441745,-13.7700406912,11559,0.0513363,-2.26965508578
777,2.76375494672,-13.7700829406,11559,0.0513363,-2.26961283639
778,2.7637754748,-13.7701251917,11559,0.0513362,-2.26957058907
779,2.76379599738,-13.7701674464,11559,0.0513362,-2.26952833433
780,2.76381651984,-13.7702097022,11559,0.0513362,-2.26948608228
781,2.76383703724,-13.7702519604,11559,0.0513362,-2.2694438278
782,2.76385755773,-13.7702942199,11559,0.0513362,-2.26940156823
783,2.76387806932,-13.7703364831,11559,0.0513362,-2.26935930881
784,2.7638985786,-13.7703787484,11559,0.0513362,-2.26931704349
785,2.76391908192,-13.7704210164,11559,0.0513362,-2.26927477927
786,2.7639395828,-13.7704632859,11559,0.0513362,-2.26923251341
787,2.76396008688,-13.770505557,11559,0.0513362,-2.26919024232
788,2.76398058679,-13.7705478309,11559,0.0513362,-2.26914797217
