zoneID,Oddy,OddyCycle,CN,CNcycle,AR,ARcycle,Taper,Tcycle,LargeAngle,LAngCycle,TotAng,TotAngCycle,Shape,ShapeCycle,ShSi,ShSiCy,Sr,SrCy,SrSi,SrSiCy
10368,4.17398,6696,1.75698,6696,1.47007,214,1.47007,0,144.884,6696,180.305,3349,0.569157,6696,0.569157,6696,0.573833,6696,0.573833,0.573833
10369,4.43848,6696,1.79422,6696,1.4673,219,1.4673,0,145.874,6696,180.32,3357,0.557344,6696,0.557344,6696,0.559689,6696,0.559689,0.559689
10370,4.67951,6696,1.8275,6696,1.46442,219,1.46442,0,146.699,6696,180.335,3374,0.547196,6696,0.547196,6696,0.54806,6696,0.54806,0.54806
10371,4.90862,6696,1.85858,6696,1.46142,221,1.46142,0,147.373,6696,180.35,3369,0.538046,6696,0.538046,6696,0.538169,6696,0.538169,0.538169
10372,5.09028,6696,1.88285,6696,1.4583,214,1.4583,0,147.87,6696,180.365,3412,0.531109,6696,0.531109,6696,0.531153,6696,0.531153,0.531153
10373,5.24658,6696,1.90349,6696,1.45508,209,1.45508,0,148.215,6696,180.38,3396,0.52535,6696,0.52535,6696,0.525918,6696,0.525918,0.525918
10374,5.35348,6696,1.91748,6696,1.45174,217,1.45174,0,148.391,6696,180.395,3430,0.521517,6696,0.521517,6696,0.523535,6696,0.523535,0.523535
10375,5.41626,6696,1.92565,6696,1.4483,217,1.4483,0,148.419,6696,180.41,3407,0.519305,6696,0.519305,6696,0.522644,6696,0.522644,0.522644
10376,5.42735,6696,1.92709,6696,1.44476,208,1.44476,0,148.307,6696,180.426,3426,0.518917,6696,0.518917,6696,0.524366,6696,0.524366,0.524366
10377,5.40967,6696,1.92479,6696,1.44112,210,1.44112,0,148.06,6696,180.441,3396,0.519536,6696,0.519536,6696,0.527332,6696,0.527332,0.527332
10378,5.36333,6696,1.91877,6696,1.43738,207,1.43738,0,147.756,6696,180.456,3455,0.521168,6696,0.521168,6696,0.531919,6696,0.531919,0.531919
10379,5.31667,6696,1.91268,6696,1.43354,209,1.43354,0,147.413,6696,180.471,3405,0.522827,6696,0.522827,6696,0.536874,6696,0.536874,0.536874
10380,5.28722,6696,1.90882,6696,1.42962,219,1.42961,0,147.115,6696,180.486,3514,0.523883,6696,0.523883,6696,0.54134,6696,0.54134,0.54134
10381,5.27962,6696,1.90783,6696,1.4256,205,1.4256,0,146.847,6696,180.501,3432,0.524156,6696,0.524156,6696,0.546029,6696,0.546029,0.546029
10382,5.31555,6696,1.91253,6696,1.42256,4225,1.42151,0,146.703,6696,180.517,3527,0.522868,6696,0.522868,6696,0.547493,6696,0.547493,0.547493
10383,5.46649,6696,1.93216,6696,1.42848,4259,1.41733,0,146.84,6696,180.532,3424,0.517555,6696,0.517555,6696,0.546387,6696,0.546387,0.546387
10384,5.49802,6696,1.93624,6696,1.43335,4284,1.41308,0,146.524,6696,180.547,3343,0.516466,6696,0.516466,6696,0.549914,6696,0.549914,0.549914
10385,5.40792,6696,1.92457,6696,1.51081,6696,1.40875,0,145.331,6696,180.56,3003,0.519597,6696,0.519597,6696,0.565868,6696,0.565868,0.565868
10386,5.11726,6696,1.88643,6696,1.65854,6696,1.40436,0,142.727,6696,180.577,3643,0.530101,6696,0.530101,6696,0.600119,6696,0.600119,0.600119
10387,4.78831,6696,1.84232,6696,1.87895,6696,1.39991,0,138.442,6696,180.649,3574,0.542793,6696,0.542793,6696,0.658182,6696,0.658182,0.658182
10388,4.36435,6696,1.78387,6696,1.42963,205,1.42963,0,145.305,6696,180.288,3315,0.56058,6696,0.56058,6696,0.567405,6696,0.567405,0.567405
10389,4.59401,6696,1.81577,6696,1.4269,204,1.4269,0,146.206,6696,180.302,3357,0.550732,6696,0.550732,6696,0.554605,6696,0.554605,0.554605
10390,4.81372,6696,1.84577,6696,1.42406,207,1.42406,0,146.949,6696,180.317,3360,0.54178,6696,0.54178,6696,0.543586,6696,0.543586,0.543586
10391,4.99097,6696,1.86962,6696,1.4211,205,1.4211,0,147.514,6696,180.331,3342,0.534868,6696,0.534868,6696,0.535416,6696,0.535416,0.535416
10392,5.13982,6696,1.88942,6696,1.41804,204,1.41804,0,147.906,6696,180.345,3347,0.529263,6696,0.529263,6696,0.529285,6696,0.529285,0.529285
10393,5.22824,6696,1.90108,6696,1.41486,205,1.41486,0,148.119,6696,180.359,3407,0.526016,6696,0.526016,6696,0.526202,6696,0.526202,0.526202
